Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam
Alain Ducasse,Mexique,1992,2017,75%,France,3.5,Criollo (Porcelana),Mexico
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam
Altus aka Cao Artisan,Oko Caribe,2044,2018,70%,U.S.A.,3,,Dominican Republic
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25,,Bolivia
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3,,Bolivia
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25,,Peru
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5,,Venezuela
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5,,Bolivia
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75,,Ecuador
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75,,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3,,Peru
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5,,Peru
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Amano,Cuyagua,147,2007,70%,U.S.A.,3,,Venezuela
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75,,Indonesia
Amano,Montanya,363,2009,70%,U.S.A.,3,,Venezuela
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75,,Dominican Republic
Amano,Guayas,470,2010,70%,U.S.A.,4,,Ecuador
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela
Amano,Morobe,725,2011,70%,U.S.A.,4,,Papua New Guinea
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75,,Ecuador
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75,,Ecuador
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana
Amazing Cacao,Platan Bajo,1964,2017,70%,Russia,3.5,,Peru
Amazing Cacao,Maranon,1964,2017,70%,Russia,3,,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25,,Peru
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25,,Dominican Republic
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,,Papua New Guinea
Ambrosia,Peru,1498,2015,68%,Canada,3.5,,Peru
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,,Venezuela
Amedei,Toscano Black,075,2006,66%,Italy,4,Blend,
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend,
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,,Peru
Amedei,Nine,2092,2018,75%,Italy,3.5,,Blend
Amedei,Toscano Black,2092,2018,70%,Italy,3.25,"Trinitario, Criollo",Blend
Amedei,Madagascar,2088,2018,70%,Italy,3,,Madagascar
Amedei,Chuao,2088,2018,70%,Italy,3,,Venezuela
Amedei,Porcelana,2092,2018,70%,Italy,3,Criollo,Venezuela
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
Anahata,Elvesia,1259,2014,75%,U.S.A.,3,,Dominican Republic
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,,Bolivia
Ara,Equateur,1379,2014,75%,France,2.75,,Ecuador
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar
Ara,Chiapas,1379,2014,72%,France,2.5,,Mexico
Ara,Trincheras,1379,2014,75%,France,3,,Venezuela
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,,Brazil
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,,Brazil
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,,Dominican Republic
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,,Ecuador
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,,Guatemala
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4,,Costa Rica
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,,Dominican Republic
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,,Ecuador
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,,Ecuador
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,,Fiji
Arete,Lachua,1904,2016,70%,U.S.A.,3.5,,Guatemala
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5,,Honduras
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,,Nicaragua
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,,Tanzania
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,,Vietnam
Arete,Beniano,2024,2017,70%,U.S.A.,4,,Bolivia
Arete,Pisa,2028,2017,70%,U.S.A.,4,,Haiti
Arete,Anamalai,2020,2017,70%,U.S.A.,3.5,,India
Arete,Sambirano Valley,2020,2017,70%,U.S.A.,3.5,,Madagascar
Arete,Ucayali,2028,2017,70%,U.S.A.,3.5,,Peru
Arete,Ben Tre,2020,2017,73%,U.S.A.,3.5,,Vietnam
Arete,Ramnath E.,2068,2018,70%,U.S.A.,3,,Trinidad
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,,Brazil
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,,Costa Rica
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,,Indonesia
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,,Venezuela
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4,,Haiti
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,,Panama
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75,,Colombia
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero (Arriba),Ecuador
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Auro,"Saloy E., 2016",2056,2018,70%,Philippines,3.5,,Philippines
Auro,"Paquibao E., 2016",2056,2018,70%,Philippines,3,,Philippines
Auro,South Cotabato,2056,2018,70%,Philippines,3,,Philippines
Auro,Davao,2056,2018,77%,Philippines,2.75,,Philippines
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,,Brazil
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend,
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,,Papua New Guinea
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25,,
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5,,Peru
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75,,Peru
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,,Dominican Republic
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,,Mexico
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,,Brazil
Bar Au Chocolat,"Turrialba, Cartago P.",1980,2017,72%,U.S.A.,3.5,,Costa Rica
Bar Au Chocolat,Montserrat Hills,1980,2017,80%,U.S.A.,3.5,,Trinidad
Baravelli's,single estate,955,2012,80%,Wales,2.75,,Costa Rica
Batch,Brazil,1868,2016,70%,U.S.A.,3.75,,Brazil
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5,,Dominican Republic
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,,Ecuador
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25,,Malaysia
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3,,Malaysia
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75,,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75,,Dominican Republic
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75,,Ecuador
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,,Ecuador
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,,Costa Rica
Belcolade,Ecuador,586,2010,71%,Belgium,3.5,,Ecuador
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,,Papua New Guinea
Belcolade,Peru,586,2010,64%,Belgium,2.75,,Peru
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25,,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5,,Dominican Republic
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Bernachon,Nature,797,2012,55%,France,2.75,,
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5,,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5,,Venezuela
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4,,Ecuador
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5,,Venezuela
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5,,Costa Rica
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5,,Costa Rica
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5,,Nicaragua
Bitacora,Aragua,2084,2018,70%,Venezuela,3.5,,Venezuela
Bitacora,Merida,2088,2018,70%,Venezuela,3,,Venezuela
Bitacora,Carabobo,2088,2018,70%,Venezuela,3,,Venezuela
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,,Dominican Republic
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,,Panama
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,,Dominican Republic
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3,,Dominican Republic
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25,,Indonesia
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75,,Indonesia
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,,Dominican Republic
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3,,Nicaragua
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
Blanxart,Organic Dark,322,2009,72%,Spain,2.75,,
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,,Guatemala
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3,,Dominican Republic
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,,Guatemala
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,,Tanzania
Boho,Maya Mtn,1996,2017,70%,U.S.A.,2.75,,Belize
Bonnat,Trinite,024,2006,75%,France,3.75,Trinitario,Carribean
Bonnat,Madagascar,075,2006,75%,France,4,Trinitario,Madagascar
Bonnat,Ceylan,081,2006,75%,France,3,,Sri Lanka
Bonnat,"Ocumare, Puerto Cabello",032,2006,75%,France,4,,Venezuela
Bonnat,"Maracaibo, El Rosario",048,2006,75%,France,4,Criollo,Venezuela
Bonnat,Chuao,081,2006,75%,France,4,Trinitario,Venezuela
Bonnat,One Hundred,081,2006,100%,France,1.5,,
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo (Porcelana),Venezuela
Bonnat,Ivory Coast,331,2009,75%,France,3,,Ivory Coast
Bonnat,"Porcelana, Tabasco,  Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Bonnat,Libanio,629,2011,75%,France,3.75,,Brazil
Bonnat,Juliana,672,2011,75%,France,3.5,,Brazil
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
Bonnat,Haiti,629,2011,75%,France,4,,Haiti
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5,,Peru
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,Maragnam,1038,2013,75%,France,3.5,,Brazil
Bonnat,Gabon,1042,2013,75%,France,3.25,,Gabon
Bonnat,Kaori,1339,2014,75%,France,4,,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25,,Dominican Republic
Bonnat,Surfin,1418,2014,65%,France,3.75,,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Selva Maya,1912,2016,75%,France,3.5,,Mexico
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,,Dominican Republic
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25,,Ecuador
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,,Dominican Republic
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75,,Nicaragua
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,Elvesia P.,1980,2017,70%,U.S.A.,3.25,,Dominican Republic
Brasstown aka It's Chocolate,Manabi,1984,2017,75%,U.S.A.,3.75,,Ecuador
Brasstown aka It's Chocolate,"Wild Bolivia, Sucre",2096,2018,70%,U.S.A.,4,,Bolivia
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25,,Dominican Republic
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3,,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5,,Guatemala
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25,,Madagascar
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75,,Madagascar
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica
Bright,Marabel Farms,1231,2014,70%,Australia,3.5,,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5,,Ecuador
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,1638,2015,70%,Russia,3.25,,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75,,Dominican Republic
Bullion,"Alto Beni, No.2, Batch 17, 2016",2052,2018,70%,U.K.,2.5,,Bolivia
Bullion,"Lanquin, No.3, Batch 21, 2016",2052,2018,70%,U.K.,3,,Guatemala
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5,,Ecuador
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5,,Ecuador
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend,
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5,,Puerto Rico
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75,,Dominican Republic
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5,,Dominican Republic
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25,,Venezuela
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
Cacao Barry,Mexico,147,2007,66%,France,3,,Mexico
Cacao Barry,Venezuela,141,2007,72%,France,2,,Venezuela
Cacao Barry,Tanzania,300,2008,75%,France,2,,Tanzania
Cacao Barry,Santo Domingo,586,2010,70%,France,3,,Dominican Republic
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25,,Venezuela
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5,,Venezuela
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela
